,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Days,Month,PM25_subindex,PM10_subindex,NO2_subindex,NOx_subindex,NH3_subindex,CO_subindex,SO2_subindex,O3_subindex,cal_AQI,AQI_bucket
3,Ahmedabad,2015-01-01,77.29182795698925,113.69166666666666,0.92,18.22,17.15,0.0,0.92,27.64,133.36,0.0,0.02,0.0,,,1,1,157.63942652329752,109.12777777777778,22.775,21.437499999999996,0.0,46.0,34.55,149.05882352941177,158.0,Moderate
6,Ahmedabad,2015-01-02,77.29182795698925,113.69166666666666,0.97,15.69,16.46,0.0,0.97,24.55,34.06,3.68,5.5,3.77,,,2,1,157.63942652329752,109.12777777777778,19.6125,20.575,0.0,48.5,30.6875,34.06,158.0,Moderate
15,Ahmedabad,2015-01-03,77.29182795698925,113.69166666666666,17.4,19.3,29.7,0.0,17.4,29.07,30.7,6.8,16.4,2.25,,,3,1,157.63942652329752,109.12777777777778,24.125,37.125,0.0,302.3529411764706,36.3375,30.7,302.0,Very Poor
18,Ahmedabad,2015-01-04,77.29182795698925,113.69166666666666,1.7,18.48,17.97,0.0,1.7,18.59,36.08,4.43,10.14,1.0,,,4,1,157.63942652329752,109.12777777777778,23.1,22.4625,0.0,85.0,23.2375,36.08,158.0,Moderate
28,Ahmedabad,2015-01-05,77.29182795698925,113.69166666666666,22.1,21.42,37.76,0.0,22.1,39.33,39.31,7.01,18.89,2.78,,,5,1,157.63942652329752,109.12777777777778,26.775,47.2,0.0,330.0,49.1625,39.31,330.0,Very Poor
35,Ahmedabad,2015-01-06,77.29182795698925,113.69166666666666,45.41,38.48,81.5,0.0,45.41,45.76,46.51,5.42,10.83,1.93,,,6,1,157.63942652329752,109.12777777777778,48.099999999999994,101.5,0.0,467.11764705882354,57.199999999999996,46.51,467.0,Severe
45,Ahmedabad,2015-01-07,77.29182795698925,113.69166666666666,112.16,40.62,130.77,0.0,112.16,32.28,33.47,0.0,0.0,0.0,,,7,1,157.63942652329752,109.12777777777778,50.775,150.77,0.0,859.7647058823529,40.35,33.47,860.0,Severe
51,Ahmedabad,2015-01-08,77.29182795698925,113.69166666666666,80.87,36.74,96.75,0.0,80.87,38.54,31.89,0.0,0.0,0.0,,,8,1,157.63942652329752,109.12777777777778,45.925,116.75,0.0,675.7058823529412,48.175,31.89,676.0,Severe
53,Ahmedabad,2015-01-09,77.29182795698925,113.69166666666666,29.16,31.0,48.0,0.0,29.16,58.68,25.75,0.0,0.0,0.0,,,9,1,157.63942652329752,109.12777777777778,38.75,60.0,0.0,371.52941176470586,73.35,25.75,372.0,Very Poor
60,Ahmedabad,2015-01-10,77.29182795698925,113.69166666666666,28.375966386554627,7.04,0.0,0.0,28.375966386554627,8.29,4.55,0.0,0.0,0.0,,,10,1,157.63942652329752,109.12777777777778,8.8,0.0,0.0,366.91744933267427,10.362499999999999,4.55,367.0,Very Poor
68,Ahmedabad,2015-01-11,77.29182795698925,113.69166666666666,132.07,55.8,24.53,0.0,132.07,25.03,6.79,0.0,0.0,0.0,,,11,1,157.63942652329752,109.12777777777778,69.75,30.6625,0.0,976.8823529411765,31.2875,6.79,977.0,Severe
78,Ahmedabad,2015-01-12,77.29182795698925,113.69166666666666,52.04,40.67,90.24,0.0,52.04,51.84,45.89,2.41,0.03,7.88,,,12,1,157.63942652329752,109.12777777777778,50.837500000000006,110.24,0.0,506.11764705882354,64.80000000000001,45.89,506.0,Severe
81,Ahmedabad,2015-01-13,77.29182795698925,113.69166666666666,48.82,44.2,87.09,0.0,48.82,68.21,35.16,9.45,13.35,12.5,,,13,1,157.63942652329752,109.12777777777778,55.25,107.09,0.0,487.1764705882353,85.26249999999999,35.16,487.0,Severe
93,Ahmedabad,2015-01-14,77.29182795698925,113.69166666666666,19.2,27.86,33.05,0.0,19.2,52.65,20.96,2.16,2.26,5.19,,,14,1,157.63942652329752,109.12777777777778,34.825,41.31249999999999,0.0,312.94117647058823,65.8125,20.96,313.0,Very Poor
95,Ahmedabad,2015-01-15,77.29182795698925,113.69166666666666,0.6,16.96,16.6,0.0,0.6,28.89,47.63,0.14,0.04,1.35,,,15,1,157.63942652329752,109.12777777777778,21.2,20.750000000000004,0.0,30.0,36.1125,47.63,158.0,Moderate
105,Ahmedabad,2015-01-16,77.29182795698925,113.69166666666666,1.63,21.72,22.86,0.0,1.63,38.27,46.03,0.35,0.05,2.01,,,16,1,157.63942652329752,109.12777777777778,27.15,28.575,0.0,81.5,47.837500000000006,46.03,158.0,Moderate
114,Ahmedabad,2015-01-17,77.29182795698925,113.69166666666666,11.44,24.73,34.75,0.0,11.44,49.5,52.24,0.68,0.0,3.27,,,17,1,157.63942652329752,109.12777777777778,30.9125,43.4375,0.0,220.57142857142856,61.875,52.24,221.0,Poor
116,Ahmedabad,2015-01-18,77.29182795698925,113.69166666666666,6.1,25.77,29.57,0.0,6.1,48.43,53.49,0.74,0.21,2.75,,,18,1,157.63942652329752,109.12777777777778,32.2125,36.9625,0.0,151.25,60.5375,53.49,158.0,Moderate
127,Ahmedabad,2015-01-19,77.29182795698925,113.69166666666666,2.51,26.88,27.45,0.0,2.51,50.03,49.48,0.26,0.02,2.8,,,19,1,157.63942652329752,109.12777777777778,33.6,34.3125,0.0,106.375,62.5375,49.48,158.0,Moderate
135,Ahmedabad,2015-01-20,77.29182795698925,113.69166666666666,7.92,26.8,32.4,0.0,7.92,58.87,56.37,0.24,0.01,3.97,,,20,1,157.63942652329752,109.12777777777778,33.5,40.5,0.0,174.0,73.5875,56.37,174.0,Moderate
138,Ahmedabad,2015-01-21,77.29182795698925,113.69166666666666,9.52,33.56,39.28,0.0,9.52,106.93,48.75,0.33,0.0,5.65,,,21,1,157.63942652329752,109.12777777777778,41.95,49.1,0.0,194.0,108.97666666666667,48.75,194.0,Moderate
147,Ahmedabad,2015-01-22,77.29182795698925,113.69166666666666,9.05,17.51,22.33,0.0,9.05,23.71,42.22,0.0,0.0,4.51,,,22,1,157.63942652329752,109.12777777777778,21.887500000000003,27.9125,0.0,188.125,29.6375,42.22,188.0,Moderate
154,Ahmedabad,2015-01-23,77.29182795698925,113.69166666666666,22.53,27.96,47.79,0.0,22.53,39.19,32.92,0.39,0.0,5.95,,,23,1,157.63942652329752,109.12777777777778,34.95,59.7375,0.0,332.5294117647059,48.9875,32.92,333.0,Very Poor
162,Ahmedabad,2015-01-24,77.29182795698925,113.69166666666666,2.03,20.39,21.4,0.0,2.03,40.07,32.49,0.47,0.7,1.54,,,24,1,157.63942652329752,109.12777777777778,25.4875,26.75,0.0,100.375,50.0875,32.49,158.0,Moderate
169,Ahmedabad,2015-01-25,77.29182795698925,113.69166666666666,1.42,20.43,20.19,0.0,1.42,58.41,39.26,0.01,0.0,0.94,,,25,1,157.63942652329752,109.12777777777778,25.5375,25.237500000000004,0.0,71.0,73.01249999999999,39.26,158.0,Moderate
178,Ahmedabad,2015-01-26,77.29182795698925,113.69166666666666,2.27,21.16,21.81,0.0,2.27,43.73,39.83,0.06,0.0,1.55,,,26,1,157.63942652329752,109.12777777777778,26.45,27.2625,0.0,103.375,54.662499999999994,39.83,158.0,Moderate
183,Ahmedabad,2015-01-27,77.29182795698925,113.69166666666666,2.19,21.7,23.26,0.0,2.19,43.28,41.1,0.02,0.0,1.65,,,27,1,157.63942652329752,109.12777777777778,27.125,29.075,0.0,102.375,54.1,41.1,158.0,Moderate
187,Ahmedabad,2015-01-28,73.24,113.69166666666666,5.72,21.11,25.84,0.0,5.72,36.52,62.42,0.03,0.01,1.41,,,28,1,144.13333333333333,109.12777777777778,26.3875,32.3,0.0,146.5,45.650000000000006,62.42,146.0,Moderate
198,Ahmedabad,2015-01-29,83.13,113.69166666666666,6.93,28.71,33.72,0.0,6.93,49.52,59.76,0.02,0.0,3.14,209.0,Poor,29,1,177.09999999999997,109.12777777777778,35.8875,42.15,0.0,161.625,61.900000000000006,59.76,177.0,Moderate
206,Ahmedabad,2015-01-30,79.84,113.69166666666666,13.85,28.68,41.08,0.0,13.85,48.49,97.07,0.04,0.0,4.81,328.0,Very Poor,30,1,166.13333333333335,109.12777777777778,35.85,51.349999999999994,0.0,255.0,60.612500000000004,97.07,255.0,Poor
2808,Ahmedabad,2016-01-01,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,1,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2812,Ahmedabad,2016-01-02,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,2,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2825,Ahmedabad,2016-01-03,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,3,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2831,Ahmedabad,2016-01-04,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,4,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2839,Ahmedabad,2016-01-05,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,5,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2846,Ahmedabad,2016-01-06,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,6,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2858,Ahmedabad,2016-01-07,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,7,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2864,Ahmedabad,2016-01-08,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,8,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2875,Ahmedabad,2016-01-09,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,9,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2882,Ahmedabad,2016-01-10,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,10,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2894,Ahmedabad,2016-01-11,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,11,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2906,Ahmedabad,2016-01-12,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,12,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2911,Ahmedabad,2016-01-13,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,13,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2926,Ahmedabad,2016-01-14,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,14,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2931,Ahmedabad,2016-01-15,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,15,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2938,Ahmedabad,2016-01-16,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,16,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2946,Ahmedabad,2016-01-17,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,17,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2954,Ahmedabad,2016-01-18,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,18,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2965,Ahmedabad,2016-01-19,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,19,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2972,Ahmedabad,2016-01-20,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,20,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
